nazwa,nazwa_lacinska,grupa,podgrupa,dekoracyjnosc,gleba,kolor_kwiatow,kwiaty,odczyn_gleby,owoce,pokroj,wysokosc,okres_kwitnienia,trwalosc_lisci,korona,wilgotnosc,stanowisko,zastosowanie,zapach,kwiatostan,kolor_owocow,przydatnosc_do_spozycia
mikołajek jukkolistny,eryngium yuccifolium,byliny,"na skalniaki, na słoneczne stanowisko, kwitnące latem, na kwiat cięty, na suszone bukiety, ozdobne kwiaty",kwiatostany,"małe wymagania glebowe, uboga, przepuszczalna, piaszczysta","białe, zielonkawe",drobne,"obojętna, lekko zasadowa",,wzniesiony,"60 cm (liście), 140 cm (kwiatostany)","VII, VIII, VI",sezonowe,,"gleba umiarkowanie wilgotna, gleba umiarkowanie sucha",słońce,"skalniaki, rabaty, nasadzenia naturalistyczne, ogrody przydomowe, kwiat cięty, bukiety",,grono,,
ostrokrzew kolczasty,ilex aquifolium,krzewy,"liściaste, znoszące zacienienie, trujące, zimozielone (liściaste), ozdobne liście","owoce, ulistnienie","małe wymagania glebowe, przepuszczalna, piaszczysto-gliniasta",białe,"dwupienne, niepozorne, drobne",kwaśna,"kuliste, trujące","wzniesiony, zwarty",3-6 m,"V, VI",zimozielone,"kopulasta, owalna","gleba wilgotna, gleba umiarkowanie wilgotna","półcień, cień","ogrody wrzosowiskowe, ogrody przydomowe, małe ogrody, duże ogrody",,,,
szlumbergera zimowa / kaktus bożonarodzeniowy / grudnik,schlumbergera trunctata,do wnętrz,"ozdobne liście, ozdobne kwiaty, kwitnące zimą","kwiaty, ulistnienie","małe wymagania glebowe, próchniczna, przepuszczalna","białe, łososiowe, czerwone, purpurowe, różowe, fioletowe","dzwonkowate, pojedyncze, duże",lekko kwaśna,,"pokładający się, rozłożysty, płożący",30 cm,"I, IX, X, XII",,,"gleba umiarkowanie wilgotna, gleba umiarkowanie sucha",półcień,"roślina dekoracyjna, wnętrza, pojemniki",,,,
pokrzywiec wilkes,acalypha wilkesiana,do wnętrz,"krzewy, do wnętrz, znoszące zacienienie, pachnące kwiaty lub liście, ozdobne liście",ulistnienie,"próchniczna, przepuszczalna",,niepozorne,"lekko kwaśna, obojętna",,"wzniesiony, zwarty, krzaczkowaty","1-1,5 m","VII, VIII",,,gleba umiarkowanie wilgotna,półcień,"roślina dekoracyjna, tarasy, wnętrza, pojemniki, balkony, roślina lecznicza",,,,
perełkowiec drobnolistny / sofora,sophora prostrata,do wnętrz,"do wnętrz, znoszące zacienienie, ozdobne liście","ulistnienie, pędy","żyzna, próchniczna, przepuszczalna",żółte,wargowe,obojętna,,"wzniesiony, rozłożysty, krzaczkowaty","1-1,5 m",,sezonowe,,gleba umiarkowanie wilgotna,półcień,"tarasy, wnętrza, pojemniki",,,,
stephania erecta,stephania erecta,do wnętrz,"pnącza, znoszące zacienienie, ozdobne liście, rośliny egzotyczne","cała roślina, ulistnienie","małe wymagania glebowe, przepuszczalna, lekka",zielonkawe,niepozorne,obojętna,,pnącze,60-150 cm długości,,,,gleba umiarkowanie sucha,półcień,"roślina pnąca, wnętrza, pojemniki",,,,
szorstkowiec fortunego,trachycarpus fortunei,do wnętrz,"na słoneczne stanowisko, ozdobne liście",ulistnienie,"próchniczna, przepuszczalna",,,lekko kwaśna,,"wzniesiony, rozłożysty",2-3 m,,,,gleba umiarkowanie wilgotna,słońce,"tarasy, wnętrza, duże ogrody, pojemniki",,,,
zamia furfuracea / sagowiec jamajski,zamia furfuracea,do wnętrz,"znoszące zacienienie, trujące, ozdobne liście, rośliny egzotyczne",ulistnienie,"żyzna, próchniczna, przepuszczalna, piaszczysta","żółte, zielonkawe","niepozorne, drobne",lekko kwaśna,,"wzniesiony, rozłożysty","0,8-1 m",,,,gleba umiarkowanie wilgotna,półcień,"wnętrza, pojemniki",,grono,,roślina trująca
golteria rozesłana,gaultheria procumbens,krzewy,"krzewy, liściaste, płożące lub okrywowe, na skalniaki, pojemnikowe, znoszące zacienienie, przebarwiające się liście, zimozielone (liściaste), ozdobne owoce, do wnętrz, znoszące zacienienie, ozdobne owoce, ozdobne liście, kwitnące latem",owoce,"przepuszczalna, lekka",różowe,"niepozorne, drobne","kwaśna, lekko kwaśna",jagody,płożący,15-20cm,"VII, VIII",zimozielone,,gleba umiarkowanie wilgotna,półcień,"ogrody wrzosowiskowe, wnętrza, skalniaki, rabaty, obwódki rabat, pojemniki, balkony","kwiaty, liście",,czerwone,liście
chryzantema / złocień ogrodowy,dendranthema syn. chryzantemum,byliny,"byliny, na słoneczne stanowisko, kwitnące jesienią, na kwiat cięty, ozdobne kwiaty","kwiatostany, kwiaty","żyzna, próchniczna, przepuszczalna","białe, kremowe, żółte, pomarańczowe, łososiowe, czerwone, różowe, liliowe","języczkowate, rurkowe","zasadowa, obojętna, lekko zasadowa",,"wzniesiony, krzaczkowaty",,"IX, X, XI",sezonowe,,gleba umiarkowanie wilgotna,słońce,"tarasy, rabaty, ogrody przydomowe, cmentarze, pojemniki, kwiat cięty, bukiety",,koszyczek kwiatowy,,
azalia,rhododendron,krzewy,"liściaste, do dużych ogrodów lub parków, pojemnikowe, znoszące zacienienie, na słoneczne stanowisko, zimozielone (liściaste), ozdobne liście, ozdobne kwiaty","kwiaty, ulistnienie",próchniczna,"białe, żółte, pomarańczowe, łososiowe, czerwone, różowe, wielobarwne",duże,kwaśna,,wzniesiony,do 2 m,"V, VI","zimozielone, półzimozielone, sezonowe",,gleba wilgotna,"słońce, półcień","ogrody wrzosowiskowe, pod koronami drzew, nasadzenia naturalistyczne, ogrody przydomowe, pojemniki",,,,
miskant chiński,miscanthus sinensis,byliny,"byliny, na słoneczne stanowisko, ozdobne liście, kwitnące latem, kwitnące jesienią, na suszone bukiety, trawy ozdobne","kwiatostany, ulistnienie","każda ogrodowa, żyzna, świeża, przepuszczalna",,,"lekko kwaśna, obojętna",,"wyprostowany, kępy",2 m,"VIII, IX, X",półzimozielone,,"gleba umiarkowanie wilgotna, gleba umiarkowanie sucha",słońce,"rabaty, obwódki rabat, szpalery, nasadzenia naturalistyczne, duże ogrody, zieleń miejska, pojemniki, kwiat cięty",,kłos,,
poinsecja nadobna / gwiazda betlejemska,euphorbia pulcherrima,do wnętrz,"do wnętrz, na słoneczne stanowisko, trujące, ozdobne liście, kwitnące zimą",ulistnienie,"żyzna, próchniczna, przepuszczalna",,niepozorne,obojętna,torebka,"wzniesiony, krzaczkowaty",do 50 cm,"I, XII",,,"gleba wilgotna, gleba umiarkowanie wilgotna",słońce,"roślina dekoracyjna, wnętrza, pojemniki, kwiat cięty, bukiety",,,zielone,
krokus wiosenny,crocus vernus,cebulowe,"cebulowe, na słoneczne stanowisko, na skalniaki, kwitnące wiosną, ozdobne kwiaty, przyprawy",kwiaty,"próchniczna, przepuszczalna",wielobarwne,"pojedyncze, duże",lekko kwaśna,torebka,wzniesiony,10-15 cm,"II, III, IV",sezonowe,,"gleba wilgotna, gleba umiarkowanie wilgotna","słońce, półcień","skalniaki, rabaty, obwódki rabat, pod koronami drzew, w grupie, pojemniki",kwiaty,,,
aktinidia,actinidia,pnącza,"pnącza owocowe, na słoneczne stanowisko, ozdobne liście, ozdobne owoce, kwitnące wiosną","owoce, ulistnienie","torfowa, żyzna, gliniasta, piaszczysto-gliniasta",białe,"pojedyncze, drobne","lekko kwaśna, obojętna",owalne,pnącze,,"V, VI",sezonowe,,"gleba wilgotna, gleba umiarkowanie wilgotna",słońce,"roślina pnąca, sadzona przy podporach, w grupie, duże ogrody, roślina jadalna",,,zielone,owoce
pęcherznica kalinolistna 'diabolo',physocarpus opulifolius diabolo,krzewy,"liściaste, żywopłotowe, znoszące zacienienie, na słoneczne stanowisko, ozdobne owoce, ozdobne liście, ozdobne kwiaty","kwiatostany, owoce, ulistnienie","małe wymagania glebowe, próchniczna, gliniasta, piaszczysta","białe, kremowe","pojedyncze, drobne","lekko kwaśna, obojętna, lekko zasadowa",owalne,rozłożysty,3 m,"VI, VII",sezonowe,,"gleba wilgotna, gleba sucha","słońce, półcień","żywopłoty, szpalery, pojedynczo, w grupie, ogrody przydomowe, zieleń miejska",,baldach,czerwone,
klon palmowy 'dissectum',acer palmatum 'dissectum',krzewy,"liściaste, pojemnikowe, na słoneczne stanowisko, przebarwiające się liście, ozdobne liście",ulistnienie,"żyzna, przepuszczalna","czerwone, purpurowe",,lekko kwaśna,,wzniesiony,180-200cm,"VII, VIII, IX",sezonowe,,gleba umiarkowanie wilgotna,słońce,brzegi zbiorników wodnych,,,,
trawa pampasowa / kortaderia pampasowa,cortaderia selloana,byliny,"byliny, na słoneczne stanowisko, kwitnące jesienią, na kwiat cięty, na suszone bukiety, trawy ozdobne","kwiatostany, ulistnienie","żyzna, próchniczna",kremowe,,,kłosy,"wzniesiony, kępy","od 0,7 do 2 m","IX, X",sezonowe,,gleba umiarkowanie wilgotna,słońce,"skalniaki, rabaty, szpalery, pojedynczo, w grupie, małe ogrody, duże ogrody, pojemniki, kwiat cięty",,kłos,,
złocień krzewiasty,argyranthemum frutescens,byliny,"byliny, na słoneczne stanowisko, kwitnące latem, ozdobne kwiaty",kwiatostany,"żyzna, próchniczna, przepuszczalna","białe, żółte, różowe","języczkowate, rurkowe","zasadowa, lekko zasadowa",,"zwarty, krzaczkowaty",30-60 cm,"VI, VII, VIII, IX",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","tarasy, ogrody wiejskie, rabaty, obwódki rabat, miejsca eksponowane, pojemniki",,koszyczek kwiatowy,,
szafirek groniasty,muscari neglectum,cebulowe,"na skalniaki, kwitnące wiosną, ozdobne kwiaty",kwiaty,"żyzna, próchniczna, przepuszczalna, piaszczysto-gliniasta","białe, niebieskie",pojedyncze,"lekko kwaśna, obojętna, lekko zasadowa",,wzniesiony,20-30 cm,"IV, V, VI",sezonowe,,"gleba umiarkowanie wilgotna, gleba umiarkowanie sucha","słońce, półcień","skalniaki, rabaty, obwódki rabat, w grupie, ogrody przydomowe, pojemniki, kwiat cięty",,grono,,
liliowiec ogrodowy,hemerocallis ×hybrida,byliny,"pachnące kwiaty lub liście, kwitnące latem, na wilgotne stanowisko, ozdobne kwiaty",kwiaty,"każda ogrodowa, małe wymagania glebowe, żyzna","pomarańczowe, czerwone, różowe, wielobarwne, bordowe, kremowe, żółte",dzwonkowate,,,wzniesiony,"0,6 - 0,8 m","V, VI, VII, VIII, IX",sezonowe,,gleba wilgotna,"słońce, półcień","rabaty, brzegi zbiorników wodnych, pod koronami drzew, pojedynczo, w grupie, małe ogrody, duże ogrody, pojemniki",kwiaty,,,
czereśnia 'regina',prunus avium 'regina',"owocowe, warzywne",drzewa owocowe,,"próchniczna, gliniasta, piaszczysta",białe,pojedyncze,"lekko kwaśna, obojętna","kuliste, jadalne",,3-5 m,IV,sezonowe,"szeroka, regularna",gleba umiarkowanie wilgotna,słońce,"ogrody wiejskie, roślina jadalna",,,czerwone,owoce
czosnek ozdobny,allium,cebulowe,"kwitnące latem, kwitnące jesienią, na kwiat cięty, ozdobne kwiaty",kwiaty,"piaszczysto-gliniasta, piaszczysta",fioletowe,,,,wzniesiony,"do 1,5 m","V, VI, VII, VIII",sezonowe,,,słońce,"rabaty, w grupie, kwiat cięty, bukiety",,,,
rozplenica perłowa / rozplenica purpurowa,pennisetum glaucum,byliny,"na skalniaki, na słoneczne stanowisko, ozdobne liście, kwitnące latem, kwitnące jesienią, ozdobne kwiaty, trawy ozdobne","kwiatostany, ulistnienie","próchniczna, przepuszczalna","kremowe, purpurowe",drobne,"obojętna, lekko zasadowa",,kępy,"1,5 m","VII, VIII",,,"gleba umiarkowanie wilgotna, gleba umiarkowanie sucha",słońce,"roślina dekoracyjna, tarasy, skalniaki, rabaty, obwódki rabat, murki, miejsca eksponowane, pojedynczo, w grupie, ogrody przydomowe, pojemniki, balkony",,kłos,,
peperomia tępolistna,peperomia obtusifolia,do wnętrz,"na słoneczne stanowisko, trujące, ozdobne liście, kwitnące wiosną, kwitnące latem",ulistnienie,"żyzna, próchniczna, przepuszczalna",żółte,"luźne, pojedyncze, drobne","lekko kwaśna, obojętna",,"zwarty, krzaczkowaty",30-40 cm,"IV, V",,,"gleba wilgotna, gleba umiarkowanie wilgotna","słońce, półcień","wnętrza, pojemniki",,wiechowaty,,
opuncja figowa,opuntia ficus-indica,do wnętrz,"ozdobne owoce, na słoneczne stanowisko, ozdobne liście, kwitnące wiosną",cała roślina,"przepuszczalna, lekka, piaszczysta",żółte,"pojedyncze, duże","obojętna, lekko zasadowa",owalne,"wzniesiony, rozłożysty, krzaczkowaty",2 m,"IV, V",,,"gleba umiarkowanie sucha, gleba sucha",słońce,"wnętrza, pojemniki",,,"zielone, pomarańczowe",owoce
aloes ościsty,aristaloe aristata,do wnętrz,"na słoneczne stanowisko, ozdobne liście, kwitnące wiosną",ulistnienie,"przepuszczalna, piaszczysta","pomarańczowe, czerwone","luźne, dzwonkowate, pojedyncze",obojętna,,zwarty,20-30 cm,IV,,,gleba sucha,słońce,"wnętrza, pojemniki, balkony",,wiechowaty,,
wrzos pospolity,calluna vulgaris,krzewy,"liściaste, płożące lub okrywowe, na skalniaki, pojemnikowe, na słoneczne stanowisko, zimozielone (liściaste), ozdobne liście","kwiaty, ulistnienie","małe wymagania glebowe, uboga, lekka, piaszczysta","białe, czerwone, różowe, fioletowe","dzwonkowate, pełne, drobne",kwaśna,,"wzniesiony, krzaczkowaty","do 0,4 m","VII, VIII, IX, X, XI",zimozielone,,gleba umiarkowanie wilgotna,słońce,"skarpy, roślina okrywowa, w grupie, ogrody przydomowe, cmentarze, pojemniki, ogrody wrzosowiskowe, skalniaki, rabaty, murki",,,,
salvia elegans / szałwia ananasowa,salvia elegans,na balkon i taras,"na balkon i taras, na słoneczne stanowisko, pachnące kwiaty lub liście, ozdobne liście, kwitnące latem, ozdobne kwiaty, przyprawy","kwiaty, ulistnienie","żyzna, próchniczna, przepuszczalna",czerwone,"pachnące, rurkowe, lejkowate, pojedyncze",obojętna,,"wzniesiony, rozłożysty, krzaczkowaty",1 m,"VII, VIII, IX, X",,,gleba umiarkowanie wilgotna,słońce,"roślina dekoracyjna, tarasy, rabaty, murki, pojedynczo, ogrody przydomowe, pojemniki, balkony, roślina lecznicza","kwiaty, liście",wiechowaty,,liście
surmia wielkokwiatowa / katalpa wielkokwiatowa,catalpa speciosa,drzewa,"drzewa, liściaste, parkowe, ozdobne kwiaty, ozdobne owoce, ozdobne liście, na słoneczne stanowisko","cała roślina, kwiaty, ulistnienie","każda ogrodowa, żyzna, próchniczna, przepuszczalna","białe, kremowe, żółte","lejkowate, duże",lekko kwaśna,"podłużne, strąki",wyprostowany,10-15 m,"VI, VII",sezonowe,"stożkowata, regularna",gleba umiarkowanie wilgotna,słońce,"miejsca eksponowane, pojedynczo, ogrody przydomowe, duże ogrody, parki, zieleń miejska",,,brunatne,
klon palmowy,acer palmatum,drzewa,"liściaste, do małych ogrodów, przebarwiające się liście, ozdobne liście","ulistnienie, pędy","żyzna, próchniczna, przepuszczalna",czerwone,"pachnące, pojedyncze, drobne","kwaśna, lekko kwaśna",owalne,,5-8 m,"IV, V, VI",sezonowe,"nieregularna, kopulasta, parasolowata","gleba wilgotna, gleba umiarkowanie wilgotna","słońce, półcień","roślina dekoracyjna, tarasy, brzegi zbiorników wodnych, miejsca eksponowane, pojedynczo, ogrody przydomowe, pojemniki",kwiaty,wiechowaty,,
kosaciec / irys,iris,cebulowe,"znoszące zacienienie, na słoneczne stanowisko, kwitnące wiosną, na kwiat cięty, na wilgotne stanowisko, ozdobne kwiaty",kwiaty,każda ogrodowa,"białe, kremowe, żółte, pomarańczowe, łososiowe, różowe, niebieskie, fioletowe","pachnące, pojedyncze, duże",obojętna,torebka,wyprostowany,,"V, VI, IV",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień, cień","rabaty, brzegi zbiorników wodnych, miejsca eksponowane, w grupie, ogrody przydomowe, małe ogrody, pojemniki, kwiat cięty",,,,
figowiec sprężysty / fikus sprężysty,ficus elastica,do wnętrz,"trujące, ozdobne liście, rośliny egzotyczne",ulistnienie,"próchniczna, przepuszczalna",,,obojętna,,"wąski, wyprostowany",3 m,,,,gleba umiarkowanie wilgotna,słońce,"wnętrza, pojemniki",,,,roślina trująca
dynia olbrzymia,cucurbita maxima,"owocowe, warzywne",warzywa,owoce,"torfowa, żyzna, próchniczna, przepuszczalna",żółte,"luźne, dwupienne, duże",lekko kwaśna,jagoda fałszywa,"pokładający się, rozłożysty, płożący",do 10 m długości,,sezonowe,,gleba wilgotna,słońce,"roślina dekoracyjna, ogrody wiejskie, ogrody przydomowe, małe ogrody, roślina jadalna",,,"żółte, pomarańczowe, czerwone","owoce, kwiaty"
arbuz zwyczajny / kawon,citrullus lanatus,"owocowe, warzywne","owocowe, warzywne, rośliny egzotyczne",,"żyzna, próchniczna",żółte,pojedyncze,"lekko kwaśna, obojętna","kuliste, owalne, jagody, jadalne",płożący,2-3 m długości,"VI, VII",sezonowe,,"gleba wilgotna, gleba umiarkowanie wilgotna",słońce,roślina jadalna,,,zielone,owoce
żywotnik olbrzymi 'golden whipcord',thuja plicata,krzewy,"iglaste, pojemnikowe, na słoneczne stanowisko, ozdobne liście","cała roślina, ulistnienie, pędy","każda ogrodowa, żyzna, próchniczna, gliniasta",,,"lekko kwaśna, obojętna",,"pokładający się, zwarty",1-2 m,IV,zimozielone,zwisająca,gleba umiarkowanie wilgotna,"słońce, półcień","roślina dekoracyjna, skalniaki, rabaty, pojedynczo, w grupie, ogrody przydomowe, pojemniki",,,,
żywotnik zachodni great star,thuja occidentalis,krzewy,"iglaste, żywopłotowe, na słoneczne stanowisko, ozdobne liście","cała roślina, ulistnienie","każda ogrodowa, żyzna, próchniczna, gliniasta",,,"lekko kwaśna, obojętna",,stożkowaty,3-5 m,IV,zimozielone,,gleba umiarkowanie wilgotna,"słońce, półcień","rabaty, żywopłoty, szpalery, w grupie, ogrody przydomowe, duże ogrody, zieleń miejska",,,,
cis pospolity 'kazimierz nowak',taxus baccata,krzewy,"iglaste, żywopłotowe, ozdobne liście","cała roślina, ulistnienie","każda ogrodowa, żyzna, próchniczna, przepuszczalna",,,"lekko kwaśna, obojętna, lekko zasadowa",kuliste,"kolumnowy, wyprostowany",10-15 m,IV,zimozielone,,gleba umiarkowanie wilgotna,"cień, słońce, półcień","rabaty, żywopłoty, szpalery, w grupie, ogrody przydomowe, parki, zieleń miejska",liście,,czerwone,
cis pośredni 'baby',taxus ×media,krzewy,"iglaste, żywopłotowe, pojemnikowe, znoszące zacienienie, ozdobne owoce, ozdobne liście",cała roślina,"każda ogrodowa, żyzna, próchniczna, gliniasta",,,"lekko kwaśna, obojętna","kuliste, jagody","kolumnowy, zwarty, wyprostowany",1-2 m,IV,zimozielone,,gleba umiarkowanie wilgotna,"słońce, półcień, cień","rabaty, obwódki rabat, sadzona przy ogrodzeniach, pod koronami drzew, w grupie, ogrody przydomowe, zieleń miejska, pojemniki",,,czerwone,
tawuła japońska double play doozie,spiraea japonica,krzewy,"liściaste, do dużych ogrodów lub parków, żywopłotowe, znoszące zacienienie, na słoneczne stanowisko, przebarwiające się liście, ozdobne liście, ozdobne kwiaty","kwiatostany, ulistnienie","każda ogrodowa, żyzna, próchniczna, przepuszczalna",czerwone,"pojedyncze, drobne","lekko kwaśna, obojętna",,"kulisty, zwarty, krzaczkowaty",50-100 cm,"VI, VII, VIII, IX",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","roślina dekoracyjna, rabaty, żywopłoty, szpalery, pojedynczo, w grupie, ogrody przydomowe, zieleń miejska",,baldachogrono,,
azalia 'venus',rhododendron,krzewy,"liściaste, ozdobne kwiaty","kwiatostany, ulistnienie","żyzna, próchniczna, przepuszczalna","pomarańczowe, łososiowe","dzwonkowate, duże",kwaśna,,"rozłożysty, krzaczkowaty",1-2 m,V,sezonowe,,gleba umiarkowanie wilgotna,słońce,"ogrody wrzosowiskowe, roślina dekoracyjna, rabaty, miejsca eksponowane, pojedynczo, ogrody przydomowe",,baldachogrono,,
różanecznik 'praděd',rhododendron,krzewy,"liściaste, do dużych ogrodów lub parków, znoszące zacienienie, trujące, zimozielone (liściaste), ozdobne kwiaty","kwiatostany, ulistnienie","żyzna, próchniczna, przepuszczalna","kremowe, żółte","lejkowate, pojedyncze, duże",kwaśna,,"rozłożysty, krzaczkowaty","1,2 m","IV, V",zimozielone,,gleba umiarkowanie wilgotna,półcień,"roślina dekoracyjna, rabaty, miejsca eksponowane, pojedynczo, ogrody przydomowe, duże ogrody",,baldachogrono,,
sosna czarna 'merci',pinus nigra,krzewy,"iglaste, na skalniaki, pojemnikowe, na słoneczne stanowisko, ozdobne liście","cała roślina, ulistnienie","każda ogrodowa, próchniczna, przepuszczalna",,,"lekko kwaśna, obojętna",,"kulisty, zwarty",50-100 cm,IV,zimozielone,"gęsta, regularna, kulista",gleba umiarkowanie wilgotna,słońce,"roślina dekoracyjna, skalniaki, rabaty, pojedynczo, ogrody przydomowe, małe ogrody, pojemniki",,,,
